registryid,obs_values
['C2914'],0.034586587238420716
['C2712'],0.02763844931419827
['C2367'],0.024296946707819116
['C8042'],0.023001194131191536
['110038759572'],0.021335572057833152
['110015334440'],0.020813208972537717
['C6249'],0.020770982644403076
['110038751534'],0.020657940108733584
['110043241417'],0.02050098551357747
['C136'],0.02029641410147961
['C50611'],0.020080043261684163
['C56068'],0.01980664115747628
['C50951'],0.019638306498192648
['C2936'],0.019622422726832064
['110038712453'],0.01941118770626934
['110015334333'],0.018554467058662795
['C6073'],0.018549406781994928
['C7030'],0.018514160907341665
['C6705'],0.018483457068987793
['C6761'],0.01827977350696809
