Average R2 Score,Layer1 Neurons,Learning Rate
0.8542461061909484,"[350, 350, 350, 350]",0.0008
0.868484573252552,"[350, 350, 350, 350]",0.0006
0.8691607652838655,"[350, 350, 350, 350]",0.0004
0.8541099989282073,"[350, 350, 350, 350, 350]",0.0008
0.8536376181616017,"[350, 350, 350, 350, 350]",0.0006
0.8618190022442654,"[350, 350, 350, 350, 350]",0.0004
0.8489900482761417,"[350, 350, 350, 350, 350, 350]",0.0008
0.8605192936622315,"[350, 350, 350, 350, 350, 350]",0.0006
0.8523465641262765,"[350, 350, 350, 350, 350, 350]",0.0004
0.8616611965403247,"[400, 400, 400, 400]",0.0008
0.8673700815432279,"[400, 400, 400, 400]",0.0006
0.8695834596384718,"[400, 400, 400, 400]",0.0004
0.8471857153999506,"[400, 400, 400, 400, 400]",0.0008
0.8567973350644218,"[400, 400, 400, 400, 400]",0.0006
0.865086247910275,"[400, 400, 400, 400, 400]",0.0004
0.84429627105685,"[400, 400, 400, 400, 400, 400]",0.0008
0.8531736948651504,"[400, 400, 400, 400, 400, 400]",0.0006
0.86292853875604,"[400, 400, 400, 400, 400, 400]",0.0004
0.8542497725182487,"[500, 500, 500, 500]",0.0008
0.8683616048434916,"[500, 500, 500, 500]",0.0006
0.8733735939076056,"[500, 500, 500, 500]",0.0004
0.8560358222495431,"[500, 500, 500, 500, 500]",0.0008
0.8615228701779821,"[500, 500, 500, 500, 500]",0.0006
0.86800151345378,"[500, 500, 500, 500, 500]",0.0004
0.8467182713602684,"[500, 500, 500, 500, 500, 500]",0.0008
0.8495990497049675,"[500, 500, 500, 500, 500, 500]",0.0006
0.8651311636258703,"[500, 500, 500, 500, 500, 500]",0.0004
